ID 	Type	Author/editor	Title	Subtitle	Description	VolumeDetails	EditorTranslator	Periodical	VolNo	No.ofVols	PlaceOfPublication	Publisher	Date(year)	Date(month)	Date(full)	PageRange	CrossRef	Index?
ref138	"Book:monograph"	"Lord Rosebery"  "Lord Randolph Churchill"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref139	"Book:monograph"	"John Earle and Philip Bliss"  "Microcosmography, or, A piece of the world discovered"  ""  ""  "L. L. Williams, ed."  ""  ""  ""  "Cambridge"  ""  ""  ""  ""  ""  ""  
ref141	"Book:monograph"	"William Law Mathieson"  "Scotland and the union"  ""  ""  ""  ""  ""  ""  "Glasgow"  ""  ""  ""  ""  ""  ""  
ref140	"Book:monograph"	"George Douglas, 8th Duke of Argyll"  "Autobiography & memoirs"  ""  ""  ""  ""  ""  "2 vols"  "London"  ""  ""  ""  ""  ""  ""  
ref143	"Book:monograph"	"John Spottiswoode"  "The history of the Church of Scotland"  ""  ""  ""  ""  ""  "3 vols"  "Edinburgh"  ""  ""  ""  ""  ""  ""  
ref142	"Book:monograph"	"W. E. Addis"  "Hebrew religion to the establishment of Judaism under Ezra"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref144	"Book:monograph"	"Edward Cardwell"  "Synodalia"  ""  ""  ""  ""  ""  ""  "Oxford"  ""  ""  ""  ""  ""  ""  
ref145	"Book:monograph"	"William Barlow"  "The summe and substance of the conference, which it pleased his excellent majestie to have with the lords bishops, and others of his clergie (at which the most of the lords of the councill were present) in his majesties privie-chamber, at Hampton Court, Jan. 14. 1603"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref147	"Book:monograph"	"Jeremy Collier"  "An ecclesiastical history of Great Britain, chiefly of England"  ""  ""  ""  ""  ""  "9 vols"  "London"  ""  ""  ""  ""  ""  ""  
ref146	"Book:monograph"	"Thomas Jacombe"  "Hooinh egzainiomnh, or, a treatise of holy dedication both personal and domestick the latter of which is (in special) recommended to the citizens of London, upon their entring into their new habitations"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref148	"Book:monograph"	"Charles Kirkpatrick Sharpe"  "A historical account of the belief in witchcraft in Scotland"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref149	"Other"	""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref151	"Book:monograph"	"William Law Mathieson"  "Politics and religion"  ""  ""  ""  ""  ""  "2 vols"  "Glasgow"  ""  ""  ""  ""  ""  ""  
ref150	"Book:monograph"	"Thomas Browne"  "Religio medici"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref152	"Book:monograph"	"Benjamin Jowett"  "The interpretation of scripture and other essays"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref153	"Book:monograph"	"Samuel Hall"  "A short history of the Oxford movement"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref154	"Other:Letter:letter"	"H. H. Henson"  "The meeting of convocation"  ""  ""  ""  "Times"  ""  ""  ""  ""  ""  ""  ""  "6"  ""  
ref155	"Book:monograph"	"Richard Newcourt"  "Repertorium ecclesiasticum parochiale Londinense"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref157	"Book:monograph"	"Otto Pfleiderer"  "Primitive christianity"  ""  ""  ""  ""  ""  "4 vols"  "London"  ""  ""  ""  ""  ""  ""  
ref156	"Book:monograph"	"William Milligan Sloane"  "The life of Napoleon Bonaparte"  ""  ""  ""  ""  ""  "4 vols"  "New York"  ""  ""  ""  ""  ""  ""  
ref158	"Book:monograph"	"Alice Gardner"  "Letters to a godchild on the catechism and confirmation"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
